version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 200 7.20557e+07 9.37307e+07 66590.2 240364 126200 362674
baseline sum_reduce 20 2 192 64 200 7.25451e+07 9.36648e+07 68700.7 302494 123759 360218
baseline sum_reduce 20 2 192 64 200 7.36545e+07 9.57853e+07 121017 2.10128e+07 120707 374566
baseline sum_reduce 20 2 192 64 200 7.27489e+07 9.40649e+07 68218.2 282619 123763 367528
baseline sum_reduce 20 2 192 64 200 7.22459e+07 7.3321e+07 520101 2.07419e+07 116360 330298
baseline sum_reduce 20 2 192 64 200 7.33436e+07 9.46077e+07 124354 2.05455e+07 132233 331488
baseline sum_reduce 20 2 192 64 200 7.49358e+07 7.61563e+07 233420 2.10714e+07 136979 332417
baseline sum_reduce 20 2 192 64 200 6.96664e+07 9.03683e+07 111046 2.00516e+07 107519 301923
baseline sum_reduce 20 2 192 64 225 7.32323e+07 7.45373e+07 127930 2.08112e+07 156583 418139
baseline sum_reduce 20 2 192 64 225 7.3844e+07 9.5585e+07 69808.5 266770 147926 434092
baseline sum_reduce 20 2 192 64 225 7.41844e+07 7.54754e+07 240449 2.09446e+07 174945 446151
baseline sum_reduce 20 2 192 64 225 7.11879e+07 9.22174e+07 74162 247562 155764 393594
baseline sum_reduce 20 2 192 64 225 7.51655e+07 9.74298e+07 82035.2 346354 171450 430302
baseline sum_reduce 20 2 192 64 225 7.15554e+07 9.27415e+07 66573.2 260850 141133 378866
baseline sum_reduce 20 2 192 64 225 7.36106e+07 7.49397e+07 179335 2.05976e+07 150637 348901
baseline sum_reduce 20 2 192 64 225 7.00883e+07 9.08992e+07 67412 262183 135757 372383
baseline sum_reduce 20 2 192 64 225 7.45604e+07 9.68534e+07 72223.5 325976 148104 467726
baseline sum_reduce 20 2 192 64 225 7.26524e+07 9.45406e+07 124588 2.08069e+07 143166 388714
baseline sum_reduce 20 2 192 64 225 7.16549e+07 7.3036e+07 282421 2.09698e+07 147044 381142
baseline sum_reduce 20 2 192 64 225 7.32767e+07 7.46102e+07 128054 2.03699e+07 155120 444256
baseline sum_reduce 20 2 192 64 225 7.50411e+07 9.59297e+07 233048 2.05165e+07 148940 368173
baseline sum_reduce 20 2 192 64 225 7.58501e+07 7.70876e+07 592750 2.11713e+07 164879 444192
baseline sum_reduce 20 2 192 64 225 7.38372e+07 7.51234e+07 238954 2.11192e+07 161789 441413
baseline sum_reduce 20 2 192 64 225 7.28465e+07 9.49854e+07 127864 2.07802e+07 151919 426330
baseline sum_reduce 20 2 192 64 225 7.49132e+07 9.73422e+07 76698 281637 157803 359395
baseline sum_reduce 20 2 192 64 225 7.09094e+07 7.20421e+07 316097 1.97656e+07 150871 365861
baseline sum_reduce 20 2 192 64 225 7.46375e+07 9.71137e+07 75919.4 304928 164097 435608
baseline sum_reduce 20 2 192 64 225 7.43452e+07 9.5832e+07 74471.4 333251 156286 441562
baseline sum_reduce 20 2 192 64 250 3.64818e+08 3.67037e+08 535528 4.34083e+07 250493 692242
baseline sum_reduce 20 2 192 64 250 3.58932e+08 3.61051e+08 2.3527e+06 4.3877e+07 220264 557070
baseline sum_reduce 20 2 192 64 250 3.73064e+08 3.75261e+08 1.18172e+06 4.34197e+07 270954 681632
baseline sum_reduce 20 2 192 64 250 3.61142e+08 4.04463e+08 71152.2 373545 189163 526639
baseline sum_reduce 20 2 192 64 250 3.51325e+08 3.53377e+08 294585 4.236e+07 217079 655189
baseline sum_reduce 20 2 192 64 250 3.75324e+08 3.77524e+08 208854 4.18321e+07 268394 627322
baseline sum_reduce 20 2 192 64 250 3.78147e+08 3.8034e+08 771826 4.39982e+07 267610 732194
baseline sum_reduce 20 2 192 64 250 3.6681e+08 3.69125e+08 641676 4.34421e+07 239725 581453
baseline sum_reduce 20 2 192 64 250 3.62239e+08 3.64279e+08 633724 4.24855e+07 249293 660732
baseline sum_reduce 20 2 192 64 250 3.6955e+08 3.71807e+08 847599 4.31471e+07 249449 602250
baseline sum_reduce 20 2 192 64 250 3.67938e+08 4.12891e+08 408898 4.36478e+07 196809 509714
baseline sum_reduce 20 2 192 64 250 3.64198e+08 3.6629e+08 628022 4.26311e+07 225238 606003
baseline sum_reduce 20 2 192 64 250 3.75654e+08 3.77942e+08 217427 4.39386e+07 273143 739356
baseline sum_reduce 20 2 192 64 250 3.63785e+08 4.08061e+08 86010.4 362426 234820 589788
baseline sum_reduce 20 2 192 64 250 3.65369e+08 3.67455e+08 647697 4.34255e+07 258492 646338
