version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 13 877118 5.43974e+06 36110.7 4.05782e+06 2709.9 8005
baseline sum_reduce 20 2 192 64 13 865922 5.51018e+06 24821.7 106501 2716.63 5809
baseline sum_reduce 20 2 192 64 13 900276 5.52163e+06 24380 85864 2708.14 6508
baseline sum_reduce 20 2 192 64 13 867190 1.46178e+06 47330.4 4.32194e+06 2718.27 12618
baseline sum_reduce 20 2 192 64 13 864705 1.37686e+06 35664.8 4.27632e+06 2709.01 6206
baseline sum_reduce 20 2 192 64 13 880177 5.4402e+06 25414.3 159228 2716.99 7740
baseline sum_reduce 20 2 192 64 13 879842 5.4663e+06 36794.7 4.13724e+06 2791.22 11600
baseline sum_reduce 20 2 192 64 13 892286 5.69245e+06 25252.3 137182 2709.82 5645
baseline sum_reduce 20 2 192 64 13 876346 5.50311e+06 25061.7 115502 2839.47 16966
baseline sum_reduce 20 2 192 64 13 858069 1.32284e+06 36528.3 4.15797e+06 2756.82 10078
baseline sum_reduce 20 2 192 64 13 862148 5.47718e+06 24340.1 107297 2697.47 6039
baseline sum_reduce 20 2 192 64 13 890235 5.57142e+06 24797.2 133992 2751.49 12196
baseline sum_reduce 20 2 192 64 13 894763 5.62341e+06 35691.2 4.14084e+06 2762.09 20274
baseline sum_reduce 20 2 192 64 13 886528 1.52645e+06 46816.8 4.27755e+06 2709.13 6722
baseline sum_reduce 20 2 192 64 13 882867 5.5352e+06 34992.9 4.19042e+06 2728.79 8953
baseline sum_reduce 20 2 192 64 13 857692 1.31724e+06 35535.4 4.17642e+06 2714.16 5118
baseline sum_reduce 20 2 192 64 13 877496 1.52356e+06 35625.4 4.13377e+06 2747.32 8121
baseline sum_reduce 20 2 192 64 13 880343 1.45076e+06 35719.5 4.3063e+06 2661.45 4724
baseline sum_reduce 20 2 192 64 13 874999 1.41652e+06 34989 4.16058e+06 2718.09 6338
baseline sum_reduce 20 2 192 64 13 910736 5.51489e+06 24722.9 120491 2705.05 16555
baseline sum_reduce 20 2 192 64 14 855315 1.37536e+06 36080.8 4.34638e+06 3123.12 8439
baseline sum_reduce 20 2 192 64 14 876455 5.57775e+06 36184.2 4.33362e+06 3055.28 5106
baseline sum_reduce 20 2 192 64 14 857302 1.35493e+06 57501.4 4.28257e+06 3054.58 7578
baseline sum_reduce 20 2 192 64 14 863758 1.409e+06 46580.3 4.23355e+06 3138.86 10388
baseline sum_reduce 20 2 192 64 14 886409 5.45275e+06 25526.9 117794 3030.31 5630
baseline sum_reduce 20 2 192 64 14 889634 5.46631e+06 35758.9 4.101e+06 3063.96 11898
baseline sum_reduce 20 2 192 64 14 889473 1.35118e+06 47573.2 4.33484e+06 3039.44 5936
baseline sum_reduce 20 2 192 64 14 872569 1.42615e+06 36670 4.28096e+06 3126.48 8043
baseline sum_reduce 20 2 192 64 14 854961 1.39684e+06 35782.4 4.15516e+06 3148.48 20811
baseline sum_reduce 20 2 192 64 14 866949 1.39352e+06 36195.6 4.25448e+06 3103.09 11242
baseline sum_reduce 20 2 192 64 14 888846 5.55995e+06 24592.9 87244 3117.34 12594
baseline sum_reduce 20 2 192 64 14 876497 1.31652e+06 36443.5 4.28086e+06 3055.98 6867
baseline sum_reduce 20 2 192 64 14 884640 1.45222e+06 47175.5 4.21966e+06 3122.33 11771
baseline sum_reduce 20 2 192 64 14 865725 5.37515e+06 24760.5 111041 3061 5220
